Green
08:00:00 - 08:00:31
08:01:02 - 08:01:33
08:02:04 - 08:02:35
08:03:06 - 08:03:37
08:04:08 - 08:04:39
08:05:10 - 08:05:41
08:06:12 - 08:06:43
08:07:14 - 08:07:45
08:08:16 - 08:08:47
08:09:18 - 08:09:49
08:10:20 - 08:10:51
08:11:22 - 08:11:53
08:12:24 - 08:12:55
08:13:26 - 08:13:57
08:14:28 - 08:14:59
08:15:30 - 08:16:01
08:16:32 - 08:17:03
08:17:34 - 08:18:05
08:18:36 - 08:19:07
08:19:38 - 08:20:09
08:20:40 - 08:21:11
08:21:42 - 08:22:13
08:22:44 - 08:23:15
08:23:46 - 08:24:17
08:24:48 - 08:25:19
08:25:50 - 08:26:21
08:26:52 - 08:27:23
08:27:54 - 08:28:25
08:28:56 - 08:29:27
08:29:58 - 08:30:29
08:31:00 - 08:31:31
08:32:02 - 08:32:33
08:33:04 - 08:33:35
08:34:06 - 08:34:37
08:35:08 - 08:35:39
08:36:10 - 08:36:41
08:37:12 - 08:37:43
08:38:14 - 08:38:45
08:39:16 - 08:39:47
08:40:18 - 08:40:49
08:41:20 - 08:41:51
08:42:22 - 08:42:53
08:43:24 - 08:43:55
08:44:26 - 08:44:57
08:45:28 - 08:45:59
08:46:30 - 08:47:01
08:47:32 - 08:48:03
08:48:34 - 08:49:05
08:49:36 - 08:50:07
08:50:38 - 08:51:09
08:51:40 - 08:52:11
08:52:42 - 08:53:13
08:53:44 - 08:54:15
08:54:46 - 08:55:17
08:55:48 - 08:56:19
08:56:50 - 08:57:21
08:57:52 - 08:58:23
08:58:54 - 08:59:25
08:59:56 - 09:00:27
Yellow
08:00:31 - 08:00:34
08:01:33 - 08:01:36
08:02:35 - 08:02:38
08:03:37 - 08:03:40
08:04:39 - 08:04:42
08:05:41 - 08:05:44
08:06:43 - 08:06:46
08:07:45 - 08:07:48
08:08:47 - 08:08:50
08:09:49 - 08:09:52
08:10:51 - 08:10:54
08:11:53 - 08:11:56
08:12:55 - 08:12:58
08:13:57 - 08:14:00
08:14:59 - 08:15:02
08:16:01 - 08:16:04
08:17:03 - 08:17:06
08:18:05 - 08:18:08
08:19:07 - 08:19:10
08:20:09 - 08:20:12
08:21:11 - 08:21:14
08:22:13 - 08:22:16
08:23:15 - 08:23:18
08:24:17 - 08:24:20
08:25:19 - 08:25:22
08:26:21 - 08:26:24
08:27:23 - 08:27:26
08:28:25 - 08:28:28
08:29:27 - 08:29:30
08:30:29 - 08:30:32
08:31:31 - 08:31:34
08:32:33 - 08:32:36
08:33:35 - 08:33:38
08:34:37 - 08:34:40
08:35:39 - 08:35:42
08:36:41 - 08:36:44
08:37:43 - 08:37:46
08:38:45 - 08:38:48
08:39:47 - 08:39:50
08:40:49 - 08:40:52
08:41:51 - 08:41:54
08:42:53 - 08:42:56
08:43:55 - 08:43:58
08:44:57 - 08:45:00
08:45:59 - 08:46:02
08:47:01 - 08:47:04
08:48:03 - 08:48:06
08:49:05 - 08:49:08
08:50:07 - 08:50:10
08:51:09 - 08:51:12
08:52:11 - 08:52:14
08:53:13 - 08:53:16
08:54:15 - 08:54:18
08:55:17 - 08:55:20
08:56:19 - 08:56:22
08:57:21 - 08:57:24
08:58:23 - 08:58:26
08:59:25 - 08:59:28
09:00:27 - 09:00:30
Red
08:00:34 - 08:01:02
08:01:36 - 08:02:04
08:02:38 - 08:03:06
08:03:40 - 08:04:08
08:04:42 - 08:05:10
08:05:44 - 08:06:12
08:06:46 - 08:07:14
08:07:48 - 08:08:16
08:08:50 - 08:09:18
08:09:52 - 08:10:20
08:10:54 - 08:11:22
08:11:56 - 08:12:24
08:12:58 - 08:13:26
08:14:00 - 08:14:28
08:15:02 - 08:15:30
08:16:04 - 08:16:32
08:17:06 - 08:17:34
08:18:08 - 08:18:36
08:19:10 - 08:19:38
08:20:12 - 08:20:40
08:21:14 - 08:21:42
08:22:16 - 08:22:44
08:23:18 - 08:23:46
08:24:20 - 08:24:48
08:25:22 - 08:25:50
08:26:24 - 08:26:52
08:27:26 - 08:27:54
08:28:28 - 08:28:56
08:29:30 - 08:29:58
08:30:32 - 08:31:00
08:31:34 - 08:32:02
08:32:36 - 08:33:04
08:33:38 - 08:34:06
08:34:40 - 08:35:08
08:35:42 - 08:36:10
08:36:44 - 08:37:12
08:37:46 - 08:38:14
08:38:48 - 08:39:16
08:39:50 - 08:40:18
08:40:52 - 08:41:20
08:41:54 - 08:42:22
08:42:56 - 08:43:24
08:43:58 - 08:44:26
08:45:00 - 08:45:28
08:46:02 - 08:46:30
08:47:04 - 08:47:32
08:48:06 - 08:48:34
08:49:08 - 08:49:36
08:50:10 - 08:50:38
08:51:12 - 08:51:40
08:52:14 - 08:52:42
08:53:16 - 08:53:44
08:54:18 - 08:54:46
08:55:20 - 08:55:48
08:56:22 - 08:56:50
08:57:24 - 08:57:52
08:58:26 - 08:58:54
08:59:28 - 08:59:56
09:00:30 - 09:00:58
